15:21:24 INFO  manager.ApplicationManager - All tests start in 'Chrome' browser
15:21:26 INFO  tests.TestBase - Name of test --->loginSuccessTestDPfromFileString
15:21:26 INFO  manager.MyListener - Start find 'element'-----> By.xpath: //button[text()='Sign Out']
15:21:31 INFO  manager.MyListener - The element with 'locator'---> By.xpath: //button[text()='Sign Out']--> was found
15:21:31 INFO  tests.TestBase - The test 'Login valid dataCSV2' start with email:lina@gmail.com; password:Lina12345$
15:21:31 INFO  manager.MyListener - Start find 'element'-----> By.cssSelector: [href= '/login']
15:21:31 INFO  manager.MyListener - The element with 'locator'---> By.cssSelector: [href= '/login']--> was found
15:21:31 INFO  manager.MyListener - Start find 'element'-----> By.cssSelector: [placeholder='Email']
15:21:31 INFO  manager.MyListener - The element with 'locator'---> By.cssSelector: [placeholder='Email']--> was found
15:21:31 INFO  manager.MyListener - Start find 'element'-----> By.cssSelector: [placeholder='Email']
15:21:31 INFO  manager.MyListener - The element with 'locator'---> By.cssSelector: [placeholder='Email']--> was found
15:21:31 INFO  manager.MyListener - Start find 'element'-----> By.cssSelector: [placeholder='Email']
15:21:31 INFO  manager.MyListener - The element with 'locator'---> By.cssSelector: [placeholder='Email']--> was found
15:21:31 INFO  manager.MyListener - Start find 'element'-----> By.cssSelector: [placeholder='Password']
15:21:31 INFO  manager.MyListener - The element with 'locator'---> By.cssSelector: [placeholder='Password']--> was found
15:21:31 INFO  manager.MyListener - Start find 'element'-----> By.cssSelector: [placeholder='Password']
15:21:31 INFO  manager.MyListener - The element with 'locator'---> By.cssSelector: [placeholder='Password']--> was found
15:21:31 INFO  manager.MyListener - Start find 'element'-----> By.cssSelector: [placeholder='Password']
15:21:31 INFO  manager.MyListener - The element with 'locator'---> By.cssSelector: [placeholder='Password']--> was found
15:21:31 INFO  manager.MyListener - Start find 'element'-----> By.cssSelector: button
15:21:31 INFO  manager.MyListener - The element with 'locator'---> By.cssSelector: button--> was found
15:21:33 INFO  manager.MyListener - Start find 'element'-----> By.xpath: //button[text()='Sign Out']
15:21:34 INFO  manager.MyListener - The element with 'locator'---> By.xpath: //button[text()='Sign Out']--> was found
15:21:34 INFO  tests.TestBase - Name of test --->loginSuccessTestDPfromFileString
15:21:34 INFO  manager.MyListener - Start find 'element'-----> By.xpath: //button[text()='Sign Out']
15:21:34 INFO  manager.MyListener - The element with 'locator'---> By.xpath: //button[text()='Sign Out']--> was found
15:21:34 INFO  manager.MyListener - Start find 'element'-----> By.xpath: //button[text()='Sign Out']
15:21:34 INFO  manager.MyListener - The element with 'locator'---> By.xpath: //button[text()='Sign Out']--> was found
15:21:34 INFO  tests.TestBase - The test 'Login valid dataCSV2' start with email:lina@gmail.com; password:Lina12345$
15:21:34 INFO  manager.MyListener - Start find 'element'-----> By.cssSelector: [href= '/login']
15:21:34 INFO  manager.MyListener - The element with 'locator'---> By.cssSelector: [href= '/login']--> was found
15:21:34 INFO  manager.MyListener - Start find 'element'-----> By.cssSelector: [placeholder='Email']
15:21:34 INFO  manager.MyListener - The element with 'locator'---> By.cssSelector: [placeholder='Email']--> was found
15:21:34 INFO  manager.MyListener - Start find 'element'-----> By.cssSelector: [placeholder='Email']
15:21:34 INFO  manager.MyListener - The element with 'locator'---> By.cssSelector: [placeholder='Email']--> was found
15:21:34 INFO  manager.MyListener - Start find 'element'-----> By.cssSelector: [placeholder='Email']
15:21:34 INFO  manager.MyListener - The element with 'locator'---> By.cssSelector: [placeholder='Email']--> was found
15:21:34 INFO  manager.MyListener - Start find 'element'-----> By.cssSelector: [placeholder='Password']
15:21:34 INFO  manager.MyListener - The element with 'locator'---> By.cssSelector: [placeholder='Password']--> was found
15:21:34 INFO  manager.MyListener - Start find 'element'-----> By.cssSelector: [placeholder='Password']
15:21:34 INFO  manager.MyListener - The element with 'locator'---> By.cssSelector: [placeholder='Password']--> was found
15:21:34 INFO  manager.MyListener - Start find 'element'-----> By.cssSelector: [placeholder='Password']
15:21:34 INFO  manager.MyListener - The element with 'locator'---> By.cssSelector: [placeholder='Password']--> was found
15:21:34 INFO  manager.MyListener - Start find 'element'-----> By.cssSelector: button
15:21:35 INFO  manager.MyListener - The element with 'locator'---> By.cssSelector: button--> was found
15:21:37 INFO  manager.MyListener - Start find 'element'-----> By.xpath: //button[text()='Sign Out']
15:21:37 INFO  manager.MyListener - The element with 'locator'---> By.xpath: //button[text()='Sign Out']--> was found
15:21:37 INFO  tests.TestBase - Name of test --->loginSuccessTestDPfromFileString
15:21:37 INFO  manager.MyListener - Start find 'element'-----> By.xpath: //button[text()='Sign Out']
15:21:37 INFO  manager.MyListener - The element with 'locator'---> By.xpath: //button[text()='Sign Out']--> was found
15:21:37 INFO  manager.MyListener - Start find 'element'-----> By.xpath: //button[text()='Sign Out']
15:21:37 INFO  manager.MyListener - The element with 'locator'---> By.xpath: //button[text()='Sign Out']--> was found
15:21:37 INFO  tests.TestBase - The test 'Login valid dataCSV2' start with email:noa@gmail.com; password:Nnoa12345$
15:21:37 INFO  manager.MyListener - Start find 'element'-----> By.cssSelector: [href= '/login']
15:21:37 INFO  manager.MyListener - The element with 'locator'---> By.cssSelector: [href= '/login']--> was found
15:21:37 INFO  manager.MyListener - Start find 'element'-----> By.cssSelector: [placeholder='Email']
15:21:37 INFO  manager.MyListener - The element with 'locator'---> By.cssSelector: [placeholder='Email']--> was found
15:21:37 INFO  manager.MyListener - Start find 'element'-----> By.cssSelector: [placeholder='Email']
15:21:37 INFO  manager.MyListener - The element with 'locator'---> By.cssSelector: [placeholder='Email']--> was found
15:21:37 INFO  manager.MyListener - Start find 'element'-----> By.cssSelector: [placeholder='Email']
15:21:37 INFO  manager.MyListener - The element with 'locator'---> By.cssSelector: [placeholder='Email']--> was found
15:21:37 INFO  manager.MyListener - Start find 'element'-----> By.cssSelector: [placeholder='Password']
15:21:37 INFO  manager.MyListener - The element with 'locator'---> By.cssSelector: [placeholder='Password']--> was found
15:21:37 INFO  manager.MyListener - Start find 'element'-----> By.cssSelector: [placeholder='Password']
15:21:37 INFO  manager.MyListener - The element with 'locator'---> By.cssSelector: [placeholder='Password']--> was found
15:21:37 INFO  manager.MyListener - Start find 'element'-----> By.cssSelector: [placeholder='Password']
15:21:37 INFO  manager.MyListener - The element with 'locator'---> By.cssSelector: [placeholder='Password']--> was found
15:21:38 INFO  manager.MyListener - Start find 'element'-----> By.cssSelector: button
15:21:38 INFO  manager.MyListener - The element with 'locator'---> By.cssSelector: button--> was found
15:21:40 INFO  manager.MyListener - Start find 'element'-----> By.xpath: //button[text()='Sign Out']
15:21:40 INFO  manager.MyListener - The element with 'locator'---> By.xpath: //button[text()='Sign Out']--> was found
15:21:40 INFO  tests.TestBase - Name of test --->loginSuccessTestDPfromFileString
15:21:40 INFO  manager.MyListener - Start find 'element'-----> By.xpath: //button[text()='Sign Out']
15:21:40 INFO  manager.MyListener - The element with 'locator'---> By.xpath: //button[text()='Sign Out']--> was found
15:21:40 INFO  manager.MyListener - Start find 'element'-----> By.xpath: //button[text()='Sign Out']
15:21:40 INFO  manager.MyListener - The element with 'locator'---> By.xpath: //button[text()='Sign Out']--> was found
15:21:40 INFO  tests.TestBase - The test 'Login valid dataCSV2' start with email:noa@gmail.com; password:Nnoa12345$
15:21:40 INFO  manager.MyListener - Start find 'element'-----> By.cssSelector: [href= '/login']
15:21:40 INFO  manager.MyListener - The element with 'locator'---> By.cssSelector: [href= '/login']--> was found
15:21:40 INFO  manager.MyListener - Start find 'element'-----> By.cssSelector: [placeholder='Email']
15:21:40 INFO  manager.MyListener - The element with 'locator'---> By.cssSelector: [placeholder='Email']--> was found
15:21:40 INFO  manager.MyListener - Start find 'element'-----> By.cssSelector: [placeholder='Email']
15:21:40 INFO  manager.MyListener - The element with 'locator'---> By.cssSelector: [placeholder='Email']--> was found
15:21:40 INFO  manager.MyListener - Start find 'element'-----> By.cssSelector: [placeholder='Email']
15:21:40 INFO  manager.MyListener - The element with 'locator'---> By.cssSelector: [placeholder='Email']--> was found
15:21:40 INFO  manager.MyListener - Start find 'element'-----> By.cssSelector: [placeholder='Password']
15:21:40 INFO  manager.MyListener - The element with 'locator'---> By.cssSelector: [placeholder='Password']--> was found
15:21:40 INFO  manager.MyListener - Start find 'element'-----> By.cssSelector: [placeholder='Password']
15:21:40 INFO  manager.MyListener - The element with 'locator'---> By.cssSelector: [placeholder='Password']--> was found
15:21:40 INFO  manager.MyListener - Start find 'element'-----> By.cssSelector: [placeholder='Password']
15:21:40 INFO  manager.MyListener - The element with 'locator'---> By.cssSelector: [placeholder='Password']--> was found
15:21:41 INFO  manager.MyListener - Start find 'element'-----> By.cssSelector: button
15:21:41 INFO  manager.MyListener - The element with 'locator'---> By.cssSelector: button--> was found
15:21:43 INFO  manager.MyListener - Start find 'element'-----> By.xpath: //button[text()='Sign Out']
15:21:43 INFO  manager.MyListener - The element with 'locator'---> By.xpath: //button[text()='Sign Out']--> was found
